topic,label,prevalence,split_year,max_jsd
1,T1: Gardening and Flower Displays,0.11873151878205948,1949,0.20893682958806897
6,T6: Recipes,0.11724643572349923,1949,0.16683332275030818
4,T4: Relief Society Conference Reports,0.093087321757209393,1949,0.17879304876551677
5,T5: Motherhood and Marriage Advice,0.08565688075169178,1949,0.2028135585465638
11,T11: Relief Society Magazine Subscription and Correspondence Announcements,0.07392942735085373,1949,0.15941106238795733
8,T8: Religious Lessons & Scripture Study,0.0698212943304628,1949,0.1635734839518888
7,T7: Poetry,0.0666188113091918,1935,0.1844543150978184
9,T9: Women's Religious Responsibility,0.06661845186496203,1949,0.1701694746503304
10,T10: Pioneer Emigration & Journey Stories,0.06622486902753048,1935,0.16131618102661274
2,T2: Church Organizational Announcements,0.06543320079356416,1935,0.2508708999099203
12,T12: Fictional Stories,0.04926748693925214,1935,0.15803740734235872
14,T14: Literature and Poetry,0.04534185647646432,1949,0.16337764176322123
3,T3: National & International Affairs,0.03245722503764769,1949,0.1615867403030642
13,T13: Advertisements,0.027793681900166175,1935,0.22313707645038636
15,T15: Relief Society Initiatives and Programs,0.02177153795544479,1935,0.20593539670127742
