word,corpus_a,corpus_b,prt,apd,jsd,n_a,n_b
suffrage,Relief_Society_Magazine,Womans_Exponent,0.17319446802139282,0.17109549045562744,0.03702602547072538,300,300
vote,Relief_Society_Magazine,Womans_Exponent,0.18463385105133057,0.18445920944213867,0.01680845539348642,300,300
rights,Relief_Society_Magazine,Womans_Exponent,0.15963447093963623,0.1590900421142578,0.051175264562798306,300,300
relief,Relief_Society_Magazine,Womans_Exponent,0.14007270336151123,0.1378191113471985,0.15648693622925966,299,300
welfare,Relief_Society_Magazine,Womans_Exponent,0.21124374866485596,0.21010422706604004,0.6196471917719953,299,300
charity,Relief_Society_Magazine,Womans_Exponent,0.1764005422592163,0.17601436376571655,0.11749467029345616,295,300
service,Relief_Society_Magazine,Womans_Exponent,0.19819140434265137,0.19845539331436157,0.1064045555260662,300,298
woman,Relief_Society_Magazine,Womans_Exponent,0.19172227382659912,0.19126951694488525,0.08446833433530523,300,300
women,Relief_Society_Magazine,Womans_Exponent,0.1612241268157959,0.15984511375427246,0.04765748139673655,300,300
sister,Relief_Society_Magazine,Womans_Exponent,0.17486143112182617,0.17621445655822754,0.11185512025704863,300,300
mother,Relief_Society_Magazine,Womans_Exponent,0.1882246732711792,0.19025468826293945,0.025595246714165135,300,300
home,Relief_Society_Magazine,Womans_Exponent,0.2015971541404724,0.20224708318710327,0.03005268151177144,300,300
work,Relief_Society_Magazine,Womans_Exponent,0.1800364851951599,0.17547547817230225,0.020499124927787472,300,300
duty,Relief_Society_Magazine,Womans_Exponent,0.18603366613388062,0.18634921312332153,0.014319409271831875,300,300
faith,Relief_Society_Magazine,Womans_Exponent,0.19205611944198608,0.19205999374389648,0.006812024200947111,300,300
family,Relief_Society_Magazine,Womans_Exponent,0.18126434087753296,0.17803847789764404,0.0738936438226121,300,300
war,Relief_Society_Magazine,Womans_Exponent,0.17838436365127563,0.17974787950515747,0.05735768679914765,300,300
lesson,Relief_Society_Magazine,Womans_Exponent,0.229264497756958,0.22856611013412476,0.2761810114523787,300,300
temple,Relief_Society_Magazine,Womans_Exponent,0.21453189849853516,0.20872873067855835,0.11380328128414852,299,297
priesthood,Relief_Society_Magazine,Womans_Exponent,0.19463998079299927,0.19725078344345093,0.08978697982203056,300,300
