Topic,Label,Difference,SE,P_value,Significant,Difference_Pct,Direction
6,Moral Education & Character Development,-0.1845707740011416,0.04416164310239164,2.981754448140589e-5,TRUE,-18.46,More in Relief Society Magazine
4,Home-Making and Recipes,-0.17724169148659089,0.04629027832657464,1.3058212052822446e-4,TRUE,-17.72,More in Relief Society Magazine
7,Relief Society Conference Reports ,0.17320079306810413,0.05539837848634373,0.0017813275999583637,TRUE,17.32,More in Woman's Exponent
10,Poetry,0.14041603407638584,0.053555724197944785,0.008776464408290448,TRUE,14.04,More in Woman's Exponent
8,World News and Women's Rights Reports,0.11168304445455415,0.04418060791388474,0.011511868124003115,TRUE,11.17,More in Woman's Exponent
5,Genealogy,-0.08791681672453845,0.03314812145361592,0.008025980520396957,TRUE,-8.79,More in Relief Society Magazine
9,Serialized Fiction & Stories,0.03516162312574033,0.0395392024269166,0.37390077731050697,FALSE,3.52,No significant difference
2,Gospel Doctrine & Spiritual Kingdom,-0.029302451647099742,0.04158652982682214,0.4810895162404091,FALSE,-2.93,No significant difference
1,Community Celebrations,0.010992698890606513,0.028386724241236855,0.6985923111426653,FALSE,1.1,No significant difference
3,Education,0.00573642859323263,0.03994922691913506,0.8858287671245795,FALSE,0.57,No significant difference
