topic_num,label,prevalence_pct,frex_words,prob_words
1,Advertisements,6.68,"===, undertaker, bldg, directory, daynesbeebe, bleach, phone, keeley, weight, willeshorne, mcconahay, main, frontispiece, grafonola, jeweler","main, south, street, book, weight, ===, state, temple, store, home, make, cotton, bleach, east, good"
2,Relief Society Meeting Reports,9.38,"standring, colton, benediction, adjourn, ciety, sis, harker, presi, dixon, lief, solo, dent, ference, duet, ters","stake, good, work, speak, give, conference, sing, say, report, meet, ward, feel, counselor, smith, mother"
3,Relief Society Leadership & Organization,5.54,"fund, membership, genealogical, attendance, mission, organization, stake, auxiliary, branch, meeting, ward, member, collect, teacher, donate","stake, work, ward, member, organization, year, give, conference, hold, mission, woman, make, meet, report, visit"
4,Household Management & Budgeting,4.5,"loop, skirt, ==========, stitch, waist, thread, hook, saving, budget, seam, fabric, hat, wear, fasten, pattern","good, make, use, much, clothe, wear, material, dress, woman, can, money, color, wash, first, time"
5,War News & Commentary,3.91,"submarine, entente, zionist, palestine, british, troop, russia, france, germany, britain, russian, government, treaty, republic, war","state, war, unite, great, much, nation, government, american, people, year, make, new, man, country, german"
6,Gospel Doctrine & Spiritual Kingdom,9.66,"ref, covenant, revelation, doc, cov, salvation, ordinance, doctrine, baptism, commandment, miracle, obedience, repentance, sin, spiritual","god, man, lord, great, say, much, can, spirit, come, world, give, good, people, life, day"
7,Genealogy and Religious History,4.69,"anglosaxons, surname, stanza, tribe, ancestor, nephites, celt, edition, jacob, saxons, datum, franklins, altemus, hebrew, lyric","book, name, lesson, people, write, story, much, first, hymn, great, time, history, give, record, read"
8,Moral Education & Character Development,7.99,"physical, health, normal, moral, habit, disease, education, tendency, responsibility, recreation, hygiene, medical, mental, parent, instinct","child, home, much, good, life, work, school, make, mother, can, health, must, give, woman, train"
9,Obituaries & Tributes,9.78,"resolve, memoriam, cts, bereave, beloved, mourn, whereas, zina, obituary, grandchild, decease, faithful, emigrate, ann, resolution","year, mother, life, smith, child, love, family, bear, young, daughter, time, friend, husband, home, many"
10,Recipes & Cooking Instructions,3.45,"pepper, milk, boil, vegetable, carrot, potato, juice, oven, fat, cheese, tbsp, cup, onion, corn, egg","food, good, use, milk, can, much, water, fruit, make, plant, bread, vegetable, cook, garden, place"
11,Nauvoo and Pioneer Legacy,4.66,"wagon, camp, journey, team, boat, cattle, mile, log, horse, canyon, road, river, tent, cabin, captain","come, can, time, much, good, day, say, see, take, home, make, little, man, old, leave"
12,Serialized Fiction and Poetry,12.57,"nimrod, mardan, sarai, abram, oer, terah, princess, thine, altar, woe, abrams, brow, ishtar, iscah, hast","love, life, heart, god, come, day, now, see, much, know, light, soul, can, long, man"
13,Fictional Stories,4.46,"jerry, rhea, walter, cant, ive, aint, couldnt, tom, grandma, didnt, mama, laugh, isnt, yes, havent","mother, good, can, say, come, little, know, get, much, think, see, time, make, take, just"
14,Women's Suffrage & Political Rights,7.07,"quinquennial, catt, sewall, suffrage, international, blackwell, council, delegate, ballot, executive, congress, madame, vote, anthony, shaw","woman, state, council, national, much, suffrage, man, hold, make, work, great, year, new, meet, first"
15,Community Celebrations and Social Report,5.66,"guest, birthday, decorate, delightful, anniversary, hostess, refreshment, regent, celebrate, flag, singer, banquet, dance, reception, elegant","give, much, day, young, home, music, old, song, beautiful, present, many, good, party, even, make"
