topic_num,auto_label,full_label,frex_words,prob_words,manual_label
1,American Literature (Washington Irving),Topic 1: American Literature (Washington Irving),"surname, courtship, irving, chap, plates, abraham, tales, danish, tribes, israelites, esther, tale, nephites, isaac, hebrew","people, one, great, book, time, lesson, first, many, name, upon, story, among, history, life, man",
2,Biography Study (Benjamin Franklin),Topic 2: Biography Study (Benjamin Franklin),"radium, madame, franklins, crowell, altemus, pasteur, curie, franklin, zionist, typhoid, palestine, gaul, germs, mountford, barton","one, great, jerusalem, first, years, land, palestine, time, people, disease, world, public, europe, country, life",
3,Pioneer Emigration & Journey Stories,Topic 3: Pioneer Emigration & Journey Stories,"emigration, journey, wagon, brother, married, ancestors, sixteen, mayflower, grandchildren, sister, teams, wagons, moved, nauvoo, team","mother, children, years, one, sister, family, smith, young, time, brother, first, president, born, utah, home",
4,Women's Suffrage & Political Rights,Topic 4: Women's Suffrage & Political Rights,"suffrage, council, university, international, convention, executive, delegates, congress, legislature, anthony, elected, delegate, chairman, graduated, catt","women, utah, president, national, state, woman, new, university, council, one, first, years, suffrage, work, states",
5,Mardan Sarai Nimrod,Topic 5: Mardan Sarai Nimrod,"mardan, sarai, nimrod, abram, terah, iscah, ishtar, princess, palace, ischa, kinsman, abrams, petesi, maidens, jehu","thy, thou, abram, upon, now, one, god, shall, thee, heart, eyes, life, love, great, prince",
6,Magazine Index & Page Numbers,Topic 6: Magazine Index & Page Numbers,"524, 654, 548, 126, 505, 557, 541, 658, 101, 147, 311, 546, 601, 361, 103","relief, society, home, james, anderson, contents, lessons, guide, lyman, amy, editorial, smith, brown, mothers, field",
7,Musical Programs & Performances,Topic 7: Musical Programs & Performances,"tableau, songs, song, sing, hymn, chorus, sargent, grand, verse, data, records, sheet, whistler, hymns, heir","temple, book, one, music, song, work, first, great, hymn, dead, people, genealogical, family, day, sing",
8,Garment & Product Advertisements,Topic 8: Garment & Product Advertisements,"merino, bleached, ==========, dickinsons, vols, leather, gauze, weight, cotton, unbleached, medium, 912, opticians, guaranteed, bound","salt, lake, city, utah, society, relief, weight, cotton, magazine, bleached, south, street, main, heavy, phone",
9,Gospel Doctrine & Spiritual Kingdom,Topic 9: Gospel Doctrine & Spiritual Kingdom,"kingdom, gospel, lord, baptism, eternal, holy, spirits, unto, blessings, revelation, spirit, pray, thank, god, ghost","god, lord, shall, church, upon, people, one, world, spirit, gospel, thy, come, said, father, great",
10,Household Management & Budgeting,Topic 10: Household Management & Budgeting,"housework, cheevers, architecture, describe, budget, homemaking, housekeeping, via, devotees, arch, income, mistress, column, shrines, shop","one, home, work, must, time, women, woman, family, make, every, well, society, life, much, good",
11,Relief Society Leadership & Organization,Topic 11: Relief Society Leadership & Organization,"sisters, presidency, grain, organization, counselors, stakes, presiding, labors, missions, societies, charity, speaker, meetings, organized, membership","society, relief, work, president, women, sisters, smith, stake, church, organization, members, young, ward, time, great",
12,Nutrition & Dietary Science,Topic 12: Nutrition & Dietary Science,"foods, diet, protein, milk, nutrients, fat, malnutrition, digestive, purchasing, eating, dairy, anglosaxons, calories, food, meal","food, milk, foods, children, child, one, salt, city, body, home, many, people, lake, utah, diet",
13,Moral Education & Character Development,Topic 13: Moral Education & Character Development,"moral, observance, parents, spiritual, obedience, mental, tendency, virtues, teach, happiness, tendencies, responsibilities, control, intellectual, physical","life, children, one, child, home, man, must, god, parents, love, every, first, men, mother, good",
14,Recipes & Cooking Instructions,Topic 14: Recipes & Cooking Instructions,"loop, juice, tbsp, boiling, oven, hook, jars, pepper, lemon, chopped, bake, thread, sauce, boil, stitches","one, water, use, used, fruit, good, two, make, place, home, well, sugar, put, bread, add",
15,Serialized Fiction & Stories,Topic 15: Serialized Fiction & Stories,"jerry, walter, jimmy, bob, ive, got, rhea, didnt, couldnt, yes, jim, cant, isnt, wouldnt, thats","mother, one, little, time, now, home, just, said, see, came, get, well, day, know, like",
16,Nursing Training & Hospital Work,Topic 16: Nursing Training & Hospital Work,"nurses, nurse, hospital, nursing, training, health, maternity, communities, aids, recreation, community, tobacco, schools, class, superintendent","work, relief, society, one, health, school, great, children, women, people, time, class, many, made, life",
17,World War I Commentary & News,Topic 17: World War I Commentary & News,"entente, allies, troops, germany, german, russia, austria, british, damage, japan, turkey, submarine, germans, britain, railway","states, war, united, utah, great, government, american, new, germany, german, british, people, women, men, france",
18,Stake & Ward Relief Society Reports,Topic 18: Stake & Ward Relief Society Reports,"stake, wards, attendance, visits, branch, ward, boise, sevier, oneida, conferences, total, bazaar, donated, societies, sanpete","stake, relief, society, work, ward, president, members, held, mission, one, given, made, wards, meetings, women",
19,Board Member Directory & Leadership,Topic 19: Board Member Directory & Leadership,"empey, mclelland, edna, farnsworth, lizzie, crismon, niebaur, jenne, coray, wilcox, eddington, beatie, director, romania, phoebe","salt, lake, city, main, sarah, utah, society, smith, elizabeth, thomas, relief, amy, counselor, lyman, secretary",
20,Biblical Symbolism & Ancient Rituals,Topic 20: Biblical Symbolism & Ancient Rituals,"passover, paschal, singer, feast, ephraim, symbolic, sacrificial, wine, supper, soprano, choir, opera, underwood, singers, lamb","one, shall, day, time, thou, upon, man, people, god, church, lord, great, work, music, first",
